ID,Morph,Body length (mm),N1,H1(mm ),L1 (mm ),W2(mm ),H 2 (mm ),L2(mm ),W3 (mm ),H3  (mm ),L3 (mm ),W4 (mm ),H4  (mm ),L4 (mm ),W5 (mm ),H5  (mm ),L5 (mm ),W6 (mm ),H6  (mm ),L6 (mm ),Eye D1 , Eye D2 ,Genetic trait,Maturation,Age,Sex,Habitat,Head size
TI130353,Piscivore,119,12,1.46,0.92,0.54,1.08,0.77,0.69,1.38,1.46,1.54,1.85,2.54,1.54,1.31,1.85,0.77,0.69,1.46,5.43,6.57,Pure,Mature,4,Male,Profundal,2816.48842
TI130061,Planktivore,110,9,1.15,0.69,0.54,0.85,0.62,0.62,1.31,1.31,1.54,1.77,2.38,1.62,1.38,2.69,0.85,0.69,1.38,9.34,10.05,Hybrid,Immature,4,Female,Littoral,4086.8103
TI130202,Planktivore,166,13,1.77,1,0.69,1.08,0.85,0.92,1.54,1.46,1.92,2.31,3,1.92,1.77,2.38,1.08,0.77,1.62,5.91,6.49,Hybrid,Immature,2,Male,Profundal,4098.04667
TI130207,Planktivore,158,10,1.62,0.77,0.69,0.92,0.92,0.77,1.31,1.46,1.69,2.23,2.85,2.08,1.62,2.38,0.92,0.85,1.38,6.29,6.59,Hybrid,Immature,4,Male,Profundal,4022.65551
TI130208,Planktivore,149,12,1.69,0.92,0.69,1.08,0.85,0.85,1.62,1.69,1.92,2.08,3.23,1.92,1.92,2.38,0.85,0.92,1.62,6.2,6.58,Hybrid,Immature,2,Female,Profundal,3953.18308
TI130213,Planktivore,318,11,2.85,0.85,1.08,1.15,1,1.23,2,2.08,2.62,3.23,3.92,2.46,2.31,3.62,1.23,1.15,2.15,10.92,10.54,Hybrid,Mature,7,Male,Pelagial ,4105.79422
TI130216,Planktivore,288,11,2.31,0.85,0.92,1.08,1.15,1.15,1.85,2.23,2.62,3.08,3.77,2.23,2.54,3.31,1.15,1,1.92,10.4,10.29,Hybrid,Mature,7,Female,Pelagial ,3717.96841
TI130217,Planktivore,258,13,2.77,1,0.85,1.15,1.38,1.08,1.77,1.69,2.08,2.46,3.46,1.92,1.92,2.77,1.08,1.15,1.77,8.86,8.58,Hybrid,Mature,4,Female,Pelagial ,4643.16124
TI130221,Planktivore,228,14,2.38,1.08,0.92,1.38,1.46,1,2.08,1.54,2.54,2.62,3.69,2.31,1.92,3.62,0.92,1.15,1.92,8.04,8.38,Hybrid,Immature,5,Male,Pelagial ,4584.98342
TI130222,Planktivore,193,10,2,0.77,0.69,1.23,0.85,0.85,1.69,1.69,2,2.46,3.31,2.08,1.62,3.08,0.85,0.77,1.77,7.05,7.44,Hybrid,Immature,3,Female,Pelagial ,3896.5934
TI130257,Planktivore,110,10,1.31,0.77,0.62,0.85,0.77,0.77,1.31,1.38,1.77,1.85,2.62,1.77,1.62,1.46,0.62,0.85,1.69,6,6.29,Hybrid,Immature,1,Female,Profundal,4680.53447
TI130030,Planktivore,157,12,1.85,0.92,0.69,1,0.85,0.85,1.54,1.54,1.85,2,2.69,1.92,1.62,2.62,0.92,0.77,1.85,7.49,7.4,Pure,Immature,2,Female,Littoral,2671.56115
TI130065,Planktivore,196,14,2,1.08,0.77,1,1,0.92,1,1.38,2,2,3.38,2,1.85,2.69,0.92,1.15,2,7.25,7.76,Pure,Immature,3,Male,Littoral,4135.83572
TI130067,Planktivore,249,11,4.46,0.85,1.15,2.15,2.38,1.38,3,2.31,3.08,4,5.31,2.92,2.92,4.92,1.15,1.08,2.77,8.49,8.7,Pure,Mature,5,Female,Pelagial ,4073.35269
TI130098,Planktivore,210,13,2.54,1,0.85,1,0.85,1.08,1.46,1.92,2.38,2.62,3.31,1.54,1.77,3.46,1.15,1,1.69,8.5,8.56,Pure,Mature,4,Male,Pelagial ,4482.29424
TI130099,Planktivore,162,12,2.85,0.92,0.85,1.46,1.08,1.46,1.92,1.92,2.69,3,4.15,3,2.31,1.85,0.85,1.15,2.54,6.44,6.72,Pure,Immature,2,Male,Littoral,3960.36615
TI130108,Planktivore,295,13,2.85,1,1,1.15,0.85,1.15,1.85,1.69,2.31,3,3.77,2.15,2.31,3.54,0.85,0.85,1.77,11.1,10.06,Pure,Mature,5,Male,Pelagial ,3722.9668
TI130127,Planktivore,98,11,1.15,0.85,0.69,0.77,0.85,0.77,1.31,1.23,1.46,1.54,2.23,1.31,1.15,1.54,0.92,0.62,1.31,4.19,5.03,Pure,Immature,1,Male,Littoral,3602.18369
TI130128,Planktivore,96,9,1.69,0.69,0.54,0.77,0.62,0.69,1.31,1.31,1.38,1.54,2.23,1.31,1.15,1.46,0.77,0.62,1.08,4.71,4.67,Pure,Immature,1,Female,Littoral,3586.68048
TI130248,Planktivore,146,12,1.77,0.92,0.77,1,0.77,0.85,1.62,1.69,2.23,2,2.85,2,1.77,2.62,1,1.08,1.62,6.89,7.07,Pure,Immature,2,Female,Profundal,3923.56615
TI130250,Planktivore,137,11,1.54,0.85,0.62,0.85,0.85,0.69,1.46,1.38,2,2.23,3.08,2.08,1.92,2.46,0.77,0.69,1.54,5.77,6.07,Pure,Immature,2,Female,Profundal,4412.74047
TI130251,Planktivore,147,11,3.23,0.85,0.77,1.62,1.31,1.31,2.31,1.77,2.92,3.08,4.46,3.08,2.92,3.38,1,1.15,2.54,6.65,7.09,Pure,Immature,2,Female,Profundal,4845.88875
TI130258,Planktivore,97,9,1,0.69,0.46,0.85,0.62,0.23,1.23,1.23,1.46,1.77,2.46,1.54,1.38,1.92,0.85,0.69,1.54,4.79,5.45,Pure,Immature,1,Male,Profundal,4010.42812
